,Titres,Auteur(s),Liste,recensé,Notes
757,Le Cantique spirituel,Jean De La Croix,resonnances_mystiques,1,
760,Le Capitalisme : Un génocide structurel,Garry Leech,resonnances_mystiques,1,
766,Le Chat botté,Richard Khaitzine,097_tradition_primordiale,1,
774,Le Conflit des interprétations (1969),Paul Ricoeur,resonnances_mystiques,1,
779,Le Coran I,Denise Masson,developpement_personnel,1,
780,Le Coran II,Denise Masson,developpement_personnel,1,
784,Le Dieu sauvage : Essai sur le suicide,A. Alvarez,etats_de_conscience,1,
785,Le Dieu séparé,Simone Pétrement,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
792,Le Dévoilement des secrets,Rûzbehân,developpement_personnel,1,
798,Le Grand Livre des Esprits de la Maison,Richard Ely,etats_de_conscience,1,
799,Le Grand Retour des sciences traditionnelles de l'âme (2018),Pascal Treffainguy,la_gnose,1,
807,Le Jasmin des fidèles d'amour,Rûzbehân,developpement_personnel,1,
809,Le LSD et les années psychédéliques,Gnoli+volpi,etats_de_conscience,1,
810,Le Langage de la déesse,Marija Gimbutas,etats_de_conscience,1,
814,Le Livre de l'homme parfait,"Cabd Al-Caziz Ibn Muöhammad Cazåiz Al-Då Nasafåi, Isabelle de Gastines",developpement_personnel,1,
818,"Le Livre des chatons des sagesses, tome 2",Ibn Arabi,developpement_personnel,1,
823,Le Livre divin,Farīd al-Dīn Aṭṭār,developpement_personnel,1,
829,Le Mahdī et ses conseillers,Ibn Arabi,developpement_personnel,1,
831,Le Manuel du chaman,Denise Linn,etats_de_conscience,1,
841,Le Mystère de l'être (1951),Gabriel Marcel,resonnances_mystiques,1,
847,Le Mythe du Graal (1989),Jean Vaquié,la_gnose,1,
848,Le Mythe du sang (1936),Julius Evola,097_tradition_primordiale,1,
852,Le Néoplatonisme,Jean Brun,la_gnose,1,
856,Le Petit Chaperon rouge,Richard Khaitzine,097_tradition_primordiale,1,
861,"Le Principe Espérance, tome 1",Ernst Bloch,resonnances_mystiques,1,
867,Le Protreptique,Clément D'alexandrie,la_gnose,1,
873,Le Réveil des gardiennes de la terre (2018),Marianne Grasseli Meier,etats_de_conscience,1,
874,Le Rêve et les sociétés humaines,"Mircea Eliade, Georges Devereux, William Charles Dement, Roland Cahen, Angelo Brelich, Roger Bastide, Gustavee. Von Grunebaum, Roger Caillois",097_tradition_primordiale,1,
887,Le Soufisme à la lumière du Coran et de la Sunna,Shihâboddîn Yahya Sohravardî,developpement_personnel,1,
888,Le Soûtra de l'Estrade du Sixième Patriarche Houei-neng,Fa-Hai,resonnances_mystiques,1,
892,Le Talmud : Berakhot 3,,developpement_personnel,1,
893,Le Tao de Laotseu,Lao-Tseu (Laozi),097_tradition_primordiale,1,
909,Le beau livre de la psychologie: Du chamanisme aux neurosciences,Wade E. Pickren,etats_de_conscience,1,
910,Le bouddhisme : philosophie ou religion ?,Christophe Richard,etats_de_conscience,1,
911,Le bouddhisme engagé,Eric Rommeluère,etats_de_conscience,1,
912,Le bouddhisme n'existe pas,Eric Rommeluère,etats_de_conscience,1,
913,Le bouddhisme vu par la science,Dominique Lormier,etats_de_conscience,1,
914,Le cantique qui est à Gabrielle,Christian Gabrielle Guez Ricord,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
916,Le chaman le physicien et le mystique,Patrick Drouot,etats_de_conscience,1,
917,Le chamane et le psy,"Laurent Huguelit, Olivier Chambon",etats_de_conscience,1,
921,Le christianisme ésotérique,Annie Besant,la_gnose,1,
922,Le courage d'être,Paul Tillich,resonnances_mystiques,1,
924,"Le diable au XIXème siècle ou, Les mystères du spiritisme : la Franc-Maçonnerie luciférienne",Docteur Bataille,la_gnose,1,
927,Le futur existe déjà,Didier Van Cauwelaert,etats_de_conscience,1,
928,Le féminin de l'être,Annick de Souzenelle,097_tradition_primordiale,1,
929,Le grand livre des esprits de la nature,Richard Ely,etats_de_conscience,1,
930,Le guide essentiel des chakras,Swami Saradananda,etats_de_conscience,1,
934,Le livre des guérisons,Annick de Souzenelle,097_tradition_primordiale,1,
935,Le message des Tibétains,Arnaud Desjardins,097_tradition_primordiale,1,
937,Le mystère john lennon,L. Mc Laren,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
938,Le nombre d'or (1931),M.C. Ghyka,sophia_perennis,1,
940,Le paradis à la porte,Fabrice Hadjadj,resonnances_mystiques,1,
943,Le pique-nique des vautours,Greg Palast,resonnances_mystiques,1,
944,Le poème d'Ishtar,Oswald Wirth,la_gnose,1,
947,Le révélateur des mystères,Nuruddîn Isfarayini,developpement_personnel,1,
948,Le rêve actif,Robert Moss,etats_de_conscience,1,
949,Le rêve et la forêt,M-F. Guédon,etats_de_conscience,1,
951,Le scorpion,Paul Bowles,voir,1,
953,Le secret de l'éternelle jeunesse,"Etienne Guillé, Richard Khaitzine, Marc Questin",097_tradition_primordiale,1,
954,Le seigneur et le Satan,Annick de Souzenelle,097_tradition_primordiale,1,
955,Le sens du sacré (2011),"Yvan Amar, Marie-Madeleine Davy, Annick de Souzenelle, Paule Salomon, Faouzi Skali, Stan Rougier, Jacques Salomé, Roland Rech",097_tradition_primordiale,1,
957,Le soleil de la confiance,Taranatha,resonnances_mystiques,1,
960,Le symbolisme hermétique,Oswald Wirth,la_gnose,1,
966,Le voyage chamanique : un guide pour les débutants,Sandra Ingerman,etats_de_conscience,1,
968,Le yoga de la Bhagavad Gîtâ,Krishna Prem,etats_de_conscience,1,
969,Le yoga des derviches 99 mouvements fondamentaux de l'euphon,"Emma Thyloch, Idris Lahore",etats_de_conscience,1,
981,Les Clavicules de Salomon,Samuel Liddell Mathers,la_gnose,1,
985,Les Dix-neuf roses,Mircea Eliade,097_tradition_primordiale,1,
988,Les Enseignements secrets de la Gnose (1907),"Léon Champrenaud (Théophane), Matgioi",097_tradition_primordiale,1,
1000,Les Iroquois et le rêve chamanique,Robert Moss,etats_de_conscience,1,
1006,Les Nouvelles Promesses des psychotropes (2019),Michael Pollan,etats_de_conscience,1,
1007,Les Nouvelles Thérapies psychédéliques (2022),Olivier Chambon,etats_de_conscience,1,
1010,Les Plantes des fées,"Richard Ely, Véronique Barrau",etats_de_conscience,1,
1011,Les Plantes psychotropes,"Sébastien Baud, Christian Ghasarian",etats_de_conscience,1,
1013,Les Pouvoirs de l'ange gardien (1999),Haziel,la_gnose,1,
1015,Les Prophéties de Paracelse,Paracelse,etats_de_conscience,1,
1020,Les Sept Portraits,Nezami,developpement_personnel,1,
1022,Les Sept livres de l'archidoxe magique,Paracelse,la_gnose,1,
1027,Les Sources occultes de la philosophie moderne,Alain Pascal,la_gnose,1,
1037,Les bâtisseurs de cathédrales (1958),Jean Gimpel,097_tradition_primordiale,1,
1040,Les constantes universelles,Gilles Cohen-Tannoudji,resonnances_mystiques,1,
1043,Les expériences de mort imminente,"Stéphane Allix, Jocelin Morisson",etats_de_conscience,1,
1044,Les fantômes de Trianon (2003),"E.F Jourdain, C.A.E Moberly",etats_de_conscience,1,
1045,Les forces occultes dans le monde moderne (1943),Léon de Poncins,la_gnose,1,
1047,Les haltes,Al-Niffari,developpement_personnel,1,
1049,Les interprétations ésotériques du Coran,"Michel Vâlsan, 'Abd ar-Razzâq al-Qâshânî",le_traditionalisme,1,
1050,Les lettres du Christ,Collectif,la_gnose,1,
1052,Les morts nous aiment,Père François Brune,etats_de_conscience,1,
1053,Les mystères d'Eleusis,Paul Foucart,la_gnose,1,
1054,Les mystères de la femme,Esther Harding,etats_de_conscience,1,
1057,Les plantes psychotropes et la conscience (2008),Romuald Leterrier,etats_de_conscience,1,
1058,"Les praticiens du rêve, un exemple de chamanisme",Michel Perrin,etats_de_conscience,1,
1059,Les secrets du chamanisme sibérien,Elena Michetchkina,etats_de_conscience,1,
1062,Les tentations métaphysiques,Hamadani Ayn Al-Quzat,developpement_personnel,1,
1064,Les trois Stèles de Seth,Anonyme,la_gnose,1,
1065,Les trois yeux de la connaissance,"Paul Couturiau, Ken Wilber",etats_de_conscience,1,
1069,Lettre de Pierre à Philippe,Anonyme,la_gnose,1,
1070,Lettre ouverte à celui qui critique le soufisme,Ahmad Al-Alawi,developpement_personnel,1,
1073,Liber XV - Eglise Gnostique (1918),Aleister Crowley,la_gnose,1,
1074,Libérez la femme puissante,Clarissa Pinkola Estés,etats_de_conscience,1,
1076,Litha,Deborah Blake,etats_de_conscience,1,
1077,Livre Sacré du Grand Esprit Invisible,Anonyme,la_gnose,1,
1084,Lugnasad,Melanie Marquis,etats_de_conscience,1,
1086,Luna yoga,Adelheid Ohlig,etats_de_conscience,1,
1089,L´esprit révolutionnaire juif (2008),E. Michael Jones,la_gnose,1,
1091,L’Alliance oubliée (2005),"Frédéric Lenoir, Annick de Souzenelle",097_tradition_primordiale,1,
1093,Mabon,Diana Rajchel,etats_de_conscience,1,
1094,Magie et sciences occultes dans le monde islamique,Jean-Charles Coulon,la_gnose,1,
1095,Magie énochienne de la Golden Dawn,Aleister Crowley,la_gnose,1,
1097,Mandala. un chaos ordonne,Trungpa Chögyam,etats_de_conscience,1,
1101,Manuel hermétique,Stanislas De Guaita,la_gnose,1,
1102,Manuel maçonnique du Rite Ecossais Ancien et Accepté,Roger Bongard,la_gnose,1,
1103,Marcher sur le chemin sacré de la Femme Bison Blanc (2016),"Brooke Medecine Eagle, Brooke Medecine Eagle",etats_de_conscience,1,
1105,Marsanès,Anonyme,la_gnose,1,
1112,Melchisédek,Anonyme,la_gnose,1,
1114,Merkavah : le véhicule de l'âme dans la tradition universelle,Lil Kaitesi,097_tradition_primordiale,1,
1117,Mindfulness & the Art of Drawing: A creative path to awareness,Wendy Ann Greenhalgh,etats_de_conscience,1,
1120,Mircea Eliade - Un bilan culturel,Julius Evola,097_tradition_primordiale,1,
1121,"Moi Sam Begay, homme médecine Navajo","Sam Begay, Marie-Claude Feltes-Strigler",etats_de_conscience,1,
1122,Moksha,Aldous Huxley,etats_de_conscience,1,
1124,Monde moderne et sagesse ancienne,Arnaud Desjardins,097_tradition_primordiale,1,
1126,Mysticisme et Logique (1918),Bertrand Russell,etats_de_conscience,1,
1130,Mécanique quantique : Le minimun théorique (2015),Léonard Susskind,resonnances_mystiques,1,
1131,Médecin quantique,Amit Goswami,etats_de_conscience,1,
1132,Médecine pour la terre,Sandra Ingerman,un_chemin_spirituel,1,
1133,Méditation sur la perception,Henepola Gunaratana,etats_de_conscience,1,
1136,Mémoires,Siné,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
1148,Naissances mystiques,Mircea Eliade,097_tradition_primordiale,1,
1149,Narthex - Principes traditionnels de la politique (1976),,sophia_perennis,1,
1150,Ne travaillez jamais. (2019),Alastair Hemmens,resonnances_mystiques,1,
1152,Neurosciences cognitives et conscience,Jean Pillon,etats_de_conscience,1,
1154,Nietzsche et l'ombre de Dieu,Didier Franck,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
1155,Noréa,Anonyme,la_gnose,1,
1159,Notre-Dame de Paris : de la colombe de Saint-Esprit à la langue des oiseaux,Richard Khaitzine,097_tradition_primordiale,1,
1161,Nous sommes coupés en deux,Annick de Souzenelle,097_tradition_primordiale,1,
1167,Oedipe intérieur : la présence du verbe dans le mythe grec,Annick de Souzenelle,097_tradition_primordiale,1,
1169,Oracles de Delphes,Jean-Paul Savignac,etats_de_conscience,1,
1171,Orient et Occident (1982),Julius Evola,097_tradition_primordiale,1,
1173,Ostara,Kerri Connor,etats_de_conscience,1,
1175,"Oui, chacun de nous peut se transformer","Arnaud Desjardins, Jean-Louis Cianni",097_tradition_primordiale,1,
1179,Paroles d'or Kitab al Ibriz,S. Al-Dabbagh,developpement_personnel,1,
1180,Paroles des anciens,Jean-Claude Guy,resonnances_mystiques,1,
1181,Patanjali et le yoga,Mircea Eliade,097_tradition_primordiale,1,
1182,Pataphysique (2002),Jean Baudrillard,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
1186,Pensez quantique pour développer votre potentiel,Amit Goswami,etats_de_conscience,1,
1188,Pensées et méditations,Khalil Gibran,livres_que_j_ai_aimes_osho_rajneesh,1,
1193,Peter Pan,Richard Khaitzine,097_tradition_primordiale,1,
1198,Petite âme et le Soleil,N.D. Walsch,voir,1,
1199,Phantastica (2020),Stéphanie Chayet,etats_de_conscience,1,
1200,Philosophie et mystique du nombre (1952),M.C. Ghyka,sophia_perennis,1,
1206,Phénoménologie de la subversion (2004),Julius Evola,097_tradition_primordiale,1,
1207,Piété pour le cosmos,"Giovanni Monastra, Philippe Baillet",097_tradition_primordiale,1,
1209,Plantes de sorcières,Clémentine Desfemmes,etats_de_conscience,1,
1217,Pour une mutation intérieure,Annick de Souzenelle,097_tradition_primordiale,1,
1219,Pour une vie réussie,Arnaud Desjardins,097_tradition_primordiale,1,
1220,"Pour une vie réussie, un amour réussi",Arnaud Desjardins,097_tradition_primordiale,1,
1224,Pourquoi nous sommes morts,Bertrand Delcour,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
1227,Poèmes - Théâtre : La Boutique de l'orfèvre ; Frère de notre dieu - Écrits sur le théâtre,Karol Wojtyla,la_gnose,1,
1232,Principes de la médecine selon la tradition,Gilles Andrès,sophia_perennis,1,
1233,Principes de la théorie des intelligibles,Porphyre de Tyr,la_gnose,1,
1238,Problèmes de gnose (2007),Jean Borella,la_gnose,1,
1243,Protreptique,Jamblique,la_gnose,1,
1245,Psilocybine,"Jean-Jacques Lebel, Anne-Marie Dubois, Antoine Gentil",etats_de_conscience,1,
1246,Psychologie,René Guénon,097_tradition_primordiale,1,
1253,Pèlerin et brigand de Bohême,Karel Hynek Macha,resonnances_mystiques,1,
1255,Qoya (2016),Rochelle Schieck,etats_de_conscience,1,
1263,Quinze missives,Abd al-Qâdîr Al-Jîlânî,developpement_personnel,1,
1267,Recueil (2013),René Guénon,097_tradition_primordiale,1,
1270,Renaissance et karma,Sri Aurobindo,etats_de_conscience,1,
1271,Rencontre avec les êtres de la nature,Anne Givaudan,etats_de_conscience,1,
1273,Rencontres avec un maître soufi Pir Vilayat Inayat Khan : l'ami spirituel,Olivier Majriti,developpement_personnel,1,
1275,René Guenon Et Les Sept Tours Du Diable (1990),,le_traditionalisme,1,
1276,René Guénon,David Bisson,le_traditionalisme,1,
1277,René Guénon (2013),Erik Sablé,le_traditionalisme,1,
1278,"René Guénon, messager de la tradition primordiale","Jean Chopitel, Christiane Gobry",le_traditionalisme,1,
1280,Retour à l'esprit,Martin Lings,097_tradition_primordiale,1,
1281,Retour à l'essentiel,Arnaud Desjardins,097_tradition_primordiale,1,
1282,Reve et chamanisme,Moyano,etats_de_conscience,1,
1284,Rimes chinoises,Matgioi,097_tradition_primordiale,1,
1285,Rituels de femmes - Pour explorer les secrets du cycle féminin,"Johanna Dermi, Serena Zigrino",etats_de_conscience,1,
1286,Rituels de femmes - Pour s'épanouir au rythme des saisons,Marianne Grasseli Meier,etats_de_conscience,1,
1293,Résonances bibliques,Annick de Souzenelle,097_tradition_primordiale,1,
1299,"Sage, sauvage et libre (2021)",Claire Garin,etats_de_conscience,1,
1301,Sagesses d'ailleurs pour vivre aujourd'hui,F. Van Ingen,etats_de_conscience,1,
1305,Samhain,Diana Rajchel,etats_de_conscience,1,
1312,Se souvenir de l'au-delà,Romuald Leterrier,etats_de_conscience,1,
1313,Se souvenir du futur,Romuald Leterrier,etats_de_conscience,1,
1315,Secrets d'alcôves,Richard Khaitzine,097_tradition_primordiale,1,
1316,Sectes religieuses en Grèce et à Rome dans l'Antiquité païenne,"Marie-Laure Freyburger-Galland, Gérard Freyburger",developpement_personnel,1,
1318,"Sex, Ecology, Spirituality : The Spirit of Evolution (2001)",Ken Wilber,etats_de_conscience,1,
1325,Soigner avec l'esprit des plantes (1995),Eliot Cowan,etats_de_conscience,1,
1329,Sorcières ordinaires,Michèle Gazier,etats_de_conscience,1,
1334,Spiritualité - de quoi s'agit-il ?,Arnaud Desjardins,097_tradition_primordiale,1,
1335,Sri Aurobindo-Mère: Shiva-Shakti ou le laboratoire de l'homme de demain,Thérèse Brosse,voir,1,
1337,"Super pouvoirs, science et yoga",Dean Radin,etats_de_conscience,1,
1339,Sur l'érotique mystique indienne,Mircea Eliade,097_tradition_primordiale,1,
1341,Sur les oracles de la Pythie,Plutarque,developpement_personnel,1,
1342,Sur les traces du shaman,Sandra Ingerman,etats_de_conscience,1,
1345,Symbole et archétype,Martin Lings,097_tradition_primordiale,1,
1354,Tantra yoga,Daniel Odier,un_chemin_spirituel,1,
1357,Techniques du Yoga (1948),Mircea Eliade,097_tradition_primordiale,1,
1358,Temple et contemplation (2007),Henry Corbin,097_tradition_primordiale,1,
1361,The Akashic Records,Ernesto Ortiz,voir,1,
1362,The Chemistry of Life,Steven Rose,resonnances_mystiques,1,
1363,The Gnostic Gospels,Elaine Pagels,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
1364,The Psilocybin Solution (2011),Simon G. Powell,etats_de_conscience,1,
1365,The Road to Reality,Roger Penrose,etats_de_conscience,1,
1367,This Is Your Mind on Plants (2021),Michael Pollan,etats_de_conscience,1,
1378,Traité Tripartite,Anonyme,la_gnose,1,
1379,Traité d'Herboristerie énergétique (2022),"Matthew Wood, Laure Rose",etats_de_conscience,1,
1380,Traité d'herméneutique,Stephane Blet,la_gnose,1,
1387,Traité du milieu,Nāgārjuna,resonnances_mystiques,1,
1388,Traité sur la Résurrection,Anonyme,la_gnose,1,
1389,"Traité sur la réintégration des êtres dans leur première propriété, vertu et puissance spirituelle divine",Joachim Martinès de Pasqually,la_gnose,1,
1390,Traité sur les noms divins,Fakhr ad-Dîn Ar-Râzi,developpement_personnel,1,
1395,Trois aspects du judaïsme (1936),Julius Evola,097_tradition_primordiale,1,
1404,Un soufi d'occident René Guénon,Abd-Al Halim Mahmud,le_traditionalisme,1,
1405,Un très long réveil (2022),Natacha Fleuridas,etats_de_conscience,1,
1406,Une Histoire de l'Inde (2007),Éric Paul Meyer,resonnances_mystiques,1,
1407,Une approche du coran par la grammaire et le lexique,Maurice Gloton,developpement_personnel,1,
1410,Une histoire de la biologie,Michel Morange,resonnances_mystiques,1,
1413,Une philosophie pour vivre sur la Terre,Ayn Rand,resonnances_mystiques,1,
1415,"Upanishad 6, 7, 8, 9. Kausitaki upanisad, Svetasvara upanisad, Prasna upanisad, Taittiriya Upanisad",Collectif,sophia_perennis,1,
1417,Va vers toi,Annick de Souzenelle,097_tradition_primordiale,1,
1426,Visions esséniennes,Daniel Meurois,etats_de_conscience,1,
1430,Voyage au coeur du chamanisme mexicain,Victor Sanchez,voir,1,
1438,Walking a Sacred Path (2006),"Lauren Artress, Lauren Artress",etats_de_conscience,1,
1439,Wu : Manuel de massage énergétique chinois (2013),Sylvie Chagnon,etats_de_conscience,1,
1441,Yi-king,"Lieou Yi-Ming, T. Cleary",resonnances_mystiques,1,
1442,Yoga Darshan,Niranjan Saraswati,etats_de_conscience,1,
1443,Yoga et Chakra,Louis Moline,etats_de_conscience,1,
1444,Yoga et spiritualité,Arnaud Desjardins,097_tradition_primordiale,1,
1445,"Yoga, Meditation, and Mysticism",Professor Kenneth Rose,etats_de_conscience,1,
1446,Yoga-Nidra et rêve éveillé,Marc-Alain Descamps,etats_de_conscience,1,
1447,Yule,Susan Pesznecker,etats_de_conscience,1,
1449,Zen et Vedanta (1995),Arnaud Desjardins,097_tradition_primordiale,1,
1450,Zostrien,Anonyme,la_gnose,1,
1453,le Tantra Horizon sacré de la relation (2011),"Jacques Lucas, Marisa Ortolan",un_chemin_spirituel,1,
1454,À la recherche de la vie intérieure (2017),"Patrice Van Eersel, Cédric Villani, Annick de Souzenelle, Arthur H, Catherine Dolto, Stanislas Dehaene, Christian Bobin, Cheikh Bentounès",097_tradition_primordiale,1,
1462,Écrits spirituels,Abd El-Kader,resonnances_mystiques,1,
1476,Ésotérisme guénonien et mystère chrétien (1997),Jean Borella,la_gnose,1,
1477,Éthique du mikado (2015),Sarah Chiche,la_bibliotheque_ideale_4_selon_pacome_thiellement,1,
1480,Évangile de la vérité,,la_gnose,1,
1486,Œuvres choisies,Mozi,resonnances_mystiques,1,
