,Titres,Auteur(s),Liste,recensé,Notes
372,Jonathan Livingston le goéland (1970),Richard Bach,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.4
1012,Les Portes de la perception,Aldous Huxley,"etats_de_conscience, un_chemin_spirituel",2,7.4
327,Histoire de la philosophie occidentale,Bertrand Russell,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.3
1191,Perceval ou le Conte du Graal (1180),Chrétien de Troyes,"la_bibliotheque_ideale_4_selon_pacome_thiellement, la_gnose",2,7.3
216,Discours sur l'origine et les fondements de l'inégalité parmi les hommes (1755),Jean-Jacques Rousseau,"la_gnose, resonnances_mystiques",2,7.2
432,L'Herbe du diable et la petite fumée (1968),Carlos Castaneda,"etats_de_conscience, un_chemin_spirituel",2,7.2
496,L'importance de vivre,Lin Yutang,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.2
647,La Sagesse des prophètes,Ibn Arabi,"developpement_personnel, la_gnose",2,7.2
679,La Vie sans principe (1863),Henry David Thoreau,"resonnances_mystiques, voir",2,7.2
681,La Voie Métaphysique,Matgioi,"097_tradition_primordiale, la_gnose",2,7.2
908,Le Zohar,,"la_gnose, resonnances_mystiques",2,7.2
1172,Orientations (1950),Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,7.2
1456,"Écoute, petit homme !",Wilhelm Reich,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.2
687,La Volonté de puissance (1901),"Friedrich Nietzsche, Elisabeth Förster-Nietzsche","developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.1
884,Le Serpent cosmique (1998),Jeremy Narby,"etats_de_conscience, un_chemin_spirituel",2,7.1
931,Le jardin du prophète,Khalil Gibran Gibran,"developpement_personnel, livres_que_j_ai_aimes_osho_rajneesh",2,7.1
1143,Métaphysique de la guerre (1935),Julius Evola,"097_tradition_primordiale, le_traditionalisme",2,7.1
1215,Pour en finir avec Dieu,Richard Dawkins,"etats_de_conscience, resonnances_mystiques",2,7.1
518,L'Évangile de Marie,Marie de Magdala,"la_bibliotheque_ideale_4_selon_pacome_thiellement, la_gnose",2,6.9
